iter	MultiClass
0	1.943023523
1	1.940433377
2	1.937592055
3	1.934822052
4	1.931980958
5	1.929048675
6	1.926108246
7	1.923353157
8	1.920510924
9	1.917839767
10	1.915141992
11	1.912519701
12	1.909646435
13	1.906803228
14	1.904171976
15	1.901436498
16	1.898884837
17	1.896255803
18	1.893617764
19	1.891077065
20	1.888355667
21	1.885734595
22	1.883146832
23	1.880560604
24	1.877878014
25	1.875263947
26	1.872640829
27	1.86992655
28	1.867312003
29	1.864729538
30	1.862233326
31	1.859666195
32	1.857248318
33	1.854733113
34	1.852357295
35	1.84992365
36	1.847494519
37	1.845008499
38	1.842503928
39	1.84004575
40	1.837523799
41	1.835080248
42	1.832640586
43	1.830197854
44	1.827944081
45	1.825463166
46	1.823212043
47	1.820814742
48	1.818436935
49	1.816078566
50	1.813733949
51	1.811404097
52	1.809158449
53	1.806780225
54	1.80453879
55	1.802320403
56	1.800067882
57	1.797815429
58	1.795481398
59	1.793279827
60	1.791052525
61	1.788729675
62	1.786532465
63	1.784183444
64	1.781968033
65	1.779809107
66	1.777562985
67	1.775277118
68	1.773178836
69	1.770968394
70	1.768834106
71	1.766674331
72	1.764612831
73	1.762522912
74	1.760397618
75	1.758246783
76	1.756162844
77	1.754083803
78	1.751903716
79	1.749836935
80	1.747670169
81	1.745588453
82	1.743483434
83	1.741414092
84	1.739385929
85	1.737382009
86	1.73529733
87	1.733188432
88	1.731072639
89	1.729043676
90	1.727017505
91	1.725055453
92	1.723120115
93	1.721147243
94	1.719191476
95	1.717327094
96	1.715395231
97	1.713383422
98	1.711408423
99	1.709367246
100	1.707487902
101	1.705497106
102	1.703555874
103	1.701538975
104	1.699653077
105	1.697652291
106	1.695878595
107	1.694018544
108	1.6920646
109	1.690119025
110	1.688229719
111	1.686410563
112	1.684523183
113	1.682649932
114	1.680740683
115	1.678875837
116	1.677107414
117	1.675205008
118	1.673456001
119	1.671590525
120	1.669705267
121	1.667914411
122	1.666134215
123	1.664311198
124	1.662489402
125	1.660720243
126	1.659006049
127	1.657270238
128	1.65555723
129	1.653832691
130	1.65207806
131	1.650390089
132	1.648623398
133	1.646839178
134	1.645138036
135	1.643483667
136	1.641687004
137	1.640021231
138	1.638276326
139	1.636572078
140	1.634909654
141	1.633275985
142	1.631538285
143	1.629906879
144	1.628126172
145	1.626493846
146	1.62474818
147	1.623162666
148	1.62155598
149	1.619858147
150	1.618122647
151	1.616501277
152	1.614799446
153	1.613156107
154	1.611612106
155	1.609939957
156	1.608216868
157	1.606543304
158	1.604890424
159	1.603226268
160	1.601650477
161	1.600024114
162	1.598527074
163	1.596858201
164	1.595191026
165	1.593606366
166	1.592068728
167	1.590511587
168	1.588957053
169	1.587339439
170	1.585761829
171	1.584234547
172	1.582658601
173	1.581117476
174	1.579614047
175	1.578064055
176	1.576601195
