iter	Passed	Remaining
0	13	13878
1	29	14777
2	41	13751
3	49	12260
4	58	11727
5	66	10989
6	73	10423
7	80	9978
8	87	9645
9	94	9382
10	101	9154
11	108	8957
12	117	8955
13	125	8816
14	132	8676
15	139	8549
16	146	8451
17	153	8359
18	159	8250
19	167	8188
20	174	8115
21	178	7953
22	185	7893
23	192	7836
24	199	7798
25	206	7735
26	214	7732
27	223	7744
28	231	7761
29	243	7888
30	253	7929
31	260	7892
32	268	7858
33	275	7822
34	282	7802
35	290	7766
36	297	7734
37	304	7710
38	311	7683
39	319	7661
40	326	7640
41	333	7613
42	341	7590
43	348	7569
44	355	7537
45	362	7514
46	369	7486
47	376	7466
48	383	7448
49	390	7428
50	397	7405
51	404	7379
52	411	7358
53	423	7420
54	435	7482
55	445	7510
56	453	7497
57	461	7489
58	469	7485
59	476	7467
60	483	7445
61	490	7422
62	497	7403
63	504	7378
64	511	7353
65	518	7331
66	525	7311
67	532	7295
68	539	7274
69	546	7258
70	553	7237
71	560	7220
72	566	7198
73	574	7185
74	581	7174
75	588	7155
76	594	7132
77	602	7119
78	609	7102
79	616	7085
80	625	7093
81	634	7099
82	645	7127
83	657	7170
84	665	7160
85	673	7154
86	680	7140
87	687	7128
88	694	7112
89	701	7095
90	709	7083
91	716	7066
92	722	7047
93	729	7027
94	735	7008
95	742	6994
96	749	6980
97	756	6966
98	764	6961
99	772	6948
100	778	6932
101	785	6915
102	792	6897
103	798	6883
104	805	6864
105	812	6849
106	818	6834
107	827	6834
108	838	6856
109	852	6899
110	864	6925
111	871	6912
112	879	6904
113	886	6891
114	893	6878
115	900	6863
116	907	6848
117	914	6832
118	920	6815
119	927	6803
120	934	6790
121	941	6778
122	948	6766
123	955	6751
124	963	6743
125	969	6727
126	976	6713
127	983	6701
128	990	6689
129	997	6676
130	1004	6665
131	1011	6652
132	1018	6639
133	1025	6625
134	1034	6626
135	1044	6634
136	1052	6631
137	1063	6645
138	1070	6633
139	1078	6623
140	1085	6611
141	1092	6600
142	1099	6589
143	1106	6575
144	1113	6563
145	1119	6550
146	1127	6539
147	1134	6528
148	1143	6531
149	1151	6526
150	1158	6515
151	1166	6505
152	1172	6491
153	1179	6481
154	1186	6470
155	1193	6458
156	1200	6447
157	1207	6435
158	1214	6424
159	1221	6414
160	1230	6413
161	1238	6404
162	1249	6418
163	1258	6412
164	1265	6403
165	1271	6388
166	1278	6377
167	1285	6368
168	1291	6348
169	1298	6338
170	1305	6327
171	1309	6305
172	1317	6299
173	1325	6290
174	1332	6280
175	1338	6267
176	1345	6258
177	1352	6247
178	1359	6235
179	1366	6225
180	1373	6213
181	1379	6201
182	1386	6189
183	1393	6179
184	1401	6172
185	1407	6161
186	1415	6152
187	1422	6144
188	1430	6137
189	1438	6134
190	1449	6139
191	1458	6136
192	1465	6127
193	1473	6120
194	1479	6109
195	1486	6099
196	1493	6088
197	1500	6077
198	1507	6066
199	1514	6056
200	1520	6045
201	1527	6034
202	1535	6026
203	1542	6018
204	1549	6008
205	1555	5997
206	1563	5987
207	1570	5978
208	1576	5966
209	1584	5959
210	1591	5951
211	1598	5943
212	1606	5934
213	1613	5925
214	1619	5913
215	1626	5902
216	1635	5900
217	1642	5892
218	1651	5889
219	1662	5893
220	1669	5883
221	1675	5873
222	1683	5866
223	1690	5857
224	1697	5848
225	1704	5838
226	1711	5829
227	1718	5819
228	1725	5809
229	1732	5799
230	1739	5789
231	1746	5780
232	1753	5773
233	1760	5764
234	1768	5755
235	1774	5745
236	1781	5735
237	1788	5725
238	1795	5716
239	1802	5706
240	1809	5697
241	1815	5687
242	1820	5670
243	1827	5661
244	1834	5654
245	1842	5646
246	1851	5643
247	1858	5636
248	1865	5626
249	1872	5618
250	1879	5609
251	1886	5599
252	1893	5591
253	1900	5582
254	1907	5571
255	1913	5561
256	1920	5551
257	1926	5541
258	1933	5532
259	1940	5524
260	1947	5515
261	1954	5506
262	1961	5497
263	1968	5488
264	1975	5478
265	1981	5468
266	1988	5458
267	1994	5448
268	2001	5439
269	2008	5430
270	2015	5421
271	2022	5412
272	2029	5403
273	2038	5401
274	2050	5404
275	2060	5405
276	2067	5397
277	2075	5389
278	2081	5379
279	2089	5371
280	2095	5361
281	2102	5352
282	2109	5343
283	2115	5333
284	2122	5324
285	2129	5316
286	2136	5307
287	2143	5299
288	2150	5290
289	2157	5281
290	2163	5271
291	2170	5262
292	2177	5253
293	2183	5243
294	2190	5235
295	2197	5226
296	2204	5218
297	2211	5209
298	2218	5200
299	2225	5191
300	2231	5182
301	2241	5180
302	2253	5182
303	2260	5175
304	2267	5167
305	2274	5159
306	2281	5149
307	2288	5140
308	2294	5131
309	2301	5122
310	2308	5114
311	2315	5105
312	2322	5097
313	2329	5089
314	2336	5080
315	2343	5072
316	2350	5063
317	2356	5053
318	2363	5044
319	2369	5035
320	2376	5026
321	2383	5018
322	2390	5009
323	2397	5001
324	2404	4993
325	2411	4985
326	2418	4976
327	2424	4968
328	2431	4959
329	2438	4951
330	2451	4953
331	2459	4948
332	2466	4939
333	2473	4931
334	2480	4923
335	2487	4914
336	2493	4906
337	2500	4897
338	2507	4889
339	2513	4879
340	2520	4870
341	2527	4863
342	2535	4856
343	2541	4847
344	2548	4839
345	2555	4830
346	2562	4821
347	2569	4813
348	2575	4805
349	2583	4797
350	2589	4788
351	2596	4780
352	2603	4771
353	2610	4764
354	2617	4756
355	2624	4747
356	2631	4739
357	2637	4730
358	2644	4722
359	2652	4715
360	2662	4712
361	2671	4707
362	2678	4700
363	2685	4691
364	2692	4683
365	2698	4675
366	2706	4668
367	2713	4659
368	2720	4651
369	2727	4643
370	2734	4635
371	2742	4630
372	2750	4622
373	2757	4615
374	2764	4607
375	2771	4598
376	2778	4590
377	2784	4582
378	2791	4573
379	2798	4565
380	2804	4556
381	2811	4548
382	2818	4540
383	2825	4532
384	2832	4524
385	2839	4516
386	2845	4507
387	2853	4501
388	2865	4501
389	2872	4493
390	2879	4485
391	2887	4479
392	2894	4470
393	2901	4463
394	2909	4455
395	2916	4448
396	2923	4440
397	2930	4431
398	2937	4424
399	2944	4416
400	2950	4407
401	2957	4399
402	2963	4390
403	2970	4382
404	2978	4376
405	2985	4367
406	2992	4359
407	2999	4352
408	3007	4345
409	3014	4337
410	3021	4329
411	3028	4321
412	3034	4313
413	3042	4306
414	3049	4298
415	3059	4294
416	3069	4291
417	3077	4284
418	3084	4277
419	3093	4271
420	3101	4264
421	3108	4257
422	3116	4250
423	3123	4242
424	3130	4234
425	3134	4222
426	3142	4216
427	3149	4209
428	3160	4206
429	3167	4199
430	3176	4193
431	3185	4188
432	3190	4177
433	3198	4170
434	3207	4165
435	3215	4158
436	3223	4152
437	3230	4144
438	3238	4138
439	3247	4132
440	3257	4128
441	3267	4124
442	3277	4121
443	3286	4115
444	3294	4109
445	3303	4102
446	3310	4095
447	3317	4088
448	3324	4080
449	3331	4071
450	3338	4063
451	3344	4055
452	3351	4047
453	3358	4038
454	3366	4032
455	3372	4023
456	3380	4016
457	3387	4008
458	3393	3999
459	3400	3991
460	3407	3984
461	3414	3975
462	3421	3968
463	3427	3959
464	3434	3951
465	3442	3944
466	3448	3936
467	3455	3928
468	3462	3920
469	3473	3917
470	3483	3912
471	3492	3906
472	3499	3898
473	3506	3891
474	3513	3883
475	3522	3877
476	3529	3869
477	3536	3862
478	3543	3854
479	3550	3846
480	3557	3838
481	3564	3830
482	3570	3822
483	3577	3814
484	3584	3806
485	3591	3798
486	3598	3790
487	3605	3782
488	3611	3774
489	3618	3766
490	3626	3759
491	3632	3751
492	3639	3742
493	3646	3734
494	3653	3726
495	3659	3718
496	3666	3710
497	3675	3705
498	3685	3700
499	3695	3695
500	3705	3690
501	3714	3684
502	3724	3679
503	3736	3676
504	3743	3669
505	3755	3666
506	3766	3662
507	3775	3656
508	3786	3652
509	3800	3651
510	3810	3646
511	3821	3642
512	3831	3637
